name,bound_xmin,bound_ymin,bound_xmax,bound_ymax,reprojected_bound_xmin,reprojected_bound_ymin,reprojected_bound_xmax,reprojected_bound_ymax
EPSG:2954: NAD83(CSRS) / Prince Edward Isl. Stereographic (NAD83),-64.4200,45.9500,-61.9700,47.0400,289901.9242,656016.1962,479861.0004,777635.8502
EPSG:2955: NAD83(CSRS) / UTM zone 11N,-120.0000,49.0000,-114.0000,79.0000,280586.2987,5431792.8644,719413.7013,8771615.9658
EPSG:2956: NAD83(CSRS) / UTM zone 12N,-114.0000,49.0000,-108.0000,79.0000,280586.2987,5431792.8644,719413.7013,8771615.9658
EPSG:2957: NAD83(CSRS) / UTM zone 13N,-108.0000,49.0000,-102.0000,81.0000,280586.2987,5431792.8644,719413.7013,8994558.8477
EPSG:2958: NAD83(CSRS) / UTM zone 17N,-84.0000,41.7000,-78.0000,84.0000,250370.2709,4620818.0318,749629.7291,9329005.1824
EPSG:2959: NAD83(CSRS) / UTM zone 18N,-78.0000,43.6000,-72.0000,84.0000,257862.1002,4831820.9485,742137.8998,9329005.1824
EPSG:2960: NAD83(CSRS) / UTM zone 19N,-72.0000,44.6000,-66.0000,83.0000,261913.1021,4942895.6502,738086.8979,9217519.4415
EPSG:2961: NAD83(CSRS) / UTM zone 20N,-66.0000,43.2000,-60.0000,83.0000,256262.3745,4787395.0381,743737.6255,9217519.4415
EPSG:2962: NAD83(CSRS) / UTM zone 21N,-60.0000,46.7100,-54.0000,55.5000,270698.2865,5177309.8448,729301.7135,6154522.9130
EPSG:2964: NAD27 / Alaska Albers,-129.9900,51.3500,172.4000,71.3500,-7401605.9114,1476348.1002,5402130.8135,8782951.2026
EPSG:2965: NAD83 / Indiana East (ftUS),-86.5800,37.9500,-84.8100,41.7500,64721.2901,985203.3376,575105.0854,2369596.5535
EPSG:2989: RRAF 1991 / UTM zone 20N,-61.8000,14.4000,-60.8200,16.5100,628067.0609,1592302.0066,735057.0338,1826608.5053
EPSG:3005: NAD83 / BC Albers,-139.0500,48.3000,-114.0300,60.0000,35043.6538,440006.8768,1885895.3117,1735643.8497
EPSG:3011: SWEREF99 18 00,17.0800,58.7000,19.2100,60.6500,96664.5565,6509617.2232,220146.6914,6727103.5879
EPSG:3032: WGS 84 / Australian Antarctic Polar Stereographic,45.0000,-90.0000,160.0000,-60.0000,4591356.6911,6000000.0000,9333134.0276,9020845.3245
EPSG:3033: WGS 84 / Australian Antarctic Lambert,45.0000,-80.0000,160.0000,-60.0000,4622297.4384,1518316.6035,9413886.6211,4558690.9688
EPSG:3034: ETRS89 / ETRS-LCC,-10.6700,34.5000,31.5500,71.0500,2122254.2378,1164627.9290,5955457.4541,5021872.0731
EPSG:3035: ETRS89 / ETRS-LAEA,-10.6700,34.5000,31.5500,71.0500,2426378.0132,1528101.2618,6293974.6215,5446513.5222
EPSG:3036: Moznet / UTM zone 36S,30.2300,-26.8800,36.0000,-11.4000,197700.5732,7023325.8422,827420.5889,8738346.5905
EPSG:3037: Moznet / UTM zone 37S,36.0000,-19.0000,42.0000,-9.5600,170637.6219,7896478.5862,829362.3781,8941801.7879
EPSG:3038: ETRS89 / ETRS-TM26,-30.0000,25.1000,-24.0000,65.8000,197427.2404,2779382.9587,802572.7596,7300894.6107
EPSG:3039: ETRS89 / ETRS-TM27,-24.0000,27.6000,-18.0000,66.5000,203872.6488,3056487.4888,796127.3512,7378848.1182
EPSG:3040: ETRS89 / ETRS-TM28,-18.0000,27.6000,-12.0000,66.5500,203872.6488,3056487.4888,796127.3512,7384416.4233
EPSG:3041: ETRS89 / ETRS-TM29,-12.0000,36.0000,-6.0000,62.3300,229578.6300,3988111.9622,770421.3700,6914547.3835
EPSG:3042: ETRS89 / ETRS-TM30,-6.0000,34.7500,0.0000,62.3300,225370.7346,3849419.9580,774629.2654,6914547.3835
EPSG:3043: ETRS89 / ETRS-TM31,0.0000,38.5000,6.0000,62.3300,238379.2278,4265559.3497,761620.7722,6914547.3835
EPSG:3044: ETRS89 / ETRS-TM32,6.0000,36.7000,12.0000,70.0000,231991.5007,4065788.6515,768008.4993,7768690.1087
EPSG:3045: ETRS89 / ETRS-TM33,12.0000,35.5000,18.0000,75.0000,227879.8880,3932632.6543,772120.1120,8325798.2469
EPSG:3046: ETRS89 / ETRS-TM34,18.0000,34.8000,24.0000,75.0000,225536.5500,3854967.2384,774463.4500,8325798.2469
EPSG:3047: ETRS89 / ETRS-TM35,24.0000,34.8000,30.0000,75.0000,225536.5500,3854967.2384,774463.4500,8325798.2469
EPSG:3048: ETRS89 / ETRS-TM36,30.0000,34.5000,36.0000,75.0000,224544.8015,3821684.0528,775455.1985,8325798.2469
EPSG:3049: ETRS89 / ETRS-TM37,36.0000,35.7500,42.0000,75.0000,228726.6722,3960371.8888,771273.3278,8325798.2469
EPSG:3050: ETRS89 / ETRS-TM38,42.0000,36.9500,48.0000,75.0000,232862.9732,4093531.9347,767137.0268,8325798.2469
EPSG:3051: ETRS89 / ETRS-TM39,48.0000,36.0000,54.0000,75.0000,229578.6300,3988111.9622,770421.3700,8325798.2469
EPSG:3054: Hjorsey 1955 / UTM zone 26N,-24.7000,64.7500,-24.0000,65.8000,605180.3812,7182789.0138,642742.8143,7301104.3670
EPSG:3055: Hjorsey 1955 / UTM zone 27N,-24.0000,63.2500,-18.0000,66.5000,349365.9643,7017174.3845,650600.4811,7379059.8039
EPSG:3056: Hjorsey 1955 / UTM zone 28N,-18.0000,63.5000,-13.4000,66.5500,350661.1884,7042505.4658,579623.8983,7384630.1976
EPSG:3057: ISN93 / Lambert 1993,-28.6400,59.8700,-10.3200,69.2300,-39925.6142,-38980.4932,986514.2978,1001273.8754
EPSG:3058: Helle 1954 / Jan Mayen Grid,-9.1500,70.8000,-7.9000,71.2000,28013.5693,55112.0063,73911.3672,99742.0046
EPSG:3059: LKS92 / Latvia TM,20.9800,55.6400,28.2300,58.1200,309934.0586,170150.3541,766175.0877,449883.8010
EPSG:3060: IGN72 Grande Terre / UTM zone 58S,163.9000,-22.5000,167.1000,-20.0000,384924.0783,7510280.4821,719717.9306,7788113.0829
EPSG:3061: Porto Santo 1995 / UTM zone 28N,-17.2700,32.3900,-16.2500,33.1500,286465.6517,3584406.8722,383419.3684,3670266.5539
EPSG:3062: Azores Oriental 1995 / UTM zone 26N,-25.9000,36.9000,-24.9500,37.9500,596648.3790,4084410.5573,682658.6217,4202319.1760
EPSG:3063: Azores Central 1995 / UTM zone 26N,-28.8500,38.3500,-27.0000,39.1500,338336.1643,4244720.2057,500000.0000,4335125.5196
EPSG:3064: IGM95 / UTM zone 32N,6.6500,8.8000,12.0000,47.0500,241492.2626,973552.2305,830065.8305,5215088.6588
EPSG:3065: IGM95 / UTM zone 33N,12.0000,36.6000,18.5300,47.0900,231644.3424,4054691.5759,815781.3110,5221213.8875
EPSG:3066: ED50 / Jordan TM,34.9800,29.2100,39.3300,33.4000,303581.9863,233635.2728,726569.5545,698855.5097
EPSG:3067: ETRS89 / ETRS-TM35FIN,19.0900,59.3000,31.5900,70.1300,50199.4814,6582464.0358,761274.6247,7799839.8902
EPSG:3068: DHDN / Soldner Berlin,13.0800,52.3300,13.7700,52.6800,2816.9273,300.1350,49855.0971,39377.9521
EPSG:3069: NAD27 / Wisconsin Transverse Mercator,-92.8800,42.4900,-86.2500,47.2900,263324.7523,207989.9349,808203.0429,744001.8129
EPSG:3070: NAD83 / Wisconsin Transverse Mercator,-92.8800,42.4900,-86.2500,47.2900,283314.9513,228202.4862,828191.6472,764214.1710
EPSG:3071: NAD83(HARN) / Wisconsin Transverse Mercator,-92.8800,42.4900,-86.2500,47.2900,283314.9513,228202.4862,828191.6472,764214.1710
EPSG:3072: NAD83 / Maine CS2000 East,-68.3800,43.9700,-66.8900,47.3700,659476.2597,15308.7646,779041.4631,393540.2728
EPSG:3073: NAD83 / Maine CS2000 Central,-70.0200,43.6500,-68.3400,47.4600,427796.1184,72512.4167,563329.6325,496046.2167
EPSG:3074: NAD83 / Maine CS2000 West,-71.0800,42.9400,-69.5800,46.5800,242458.7578,12090.5888,364886.9655,416651.0187
EPSG:3075: NAD83(HARN) / Maine CS2000 East,-68.3800,43.9700,-66.8900,47.3700,659476.2597,15308.7646,779041.4631,393540.2728
EPSG:3076: NAD83(HARN) / Maine CS2000 Central,-70.0200,43.6500,-68.3400,47.4600,427796.1184,72512.4167,563329.6325,496046.2167
EPSG:3077: NAD83(HARN) / Maine CS2000 West,-71.0800,42.9400,-69.5800,46.5800,242458.7578,12090.5888,364886.9655,416651.0187
EPSG:3078: NAD83 / Michigan Oblique Mercator,-90.4100,41.7000,-82.1200,48.3000,2179536.4678,-4747350.7896,2869578.0075,-4012414.3914
EPSG:3079: NAD83(HARN) / Michigan Oblique Mercator,-90.4100,41.7000,-82.1200,48.3000,2179536.4678,-4747350.7896,2869578.0075,-4012414.3914
EPSG:3080: NAD27 / Shackleford,-106.6300,25.8300,-93.5100,36.5000,815817.6871,1123580.3580,5138271.5949,4997943.5036
EPSG:3081: NAD83 / Texas State Mapping System,-106.6300,25.8300,-93.5100,36.5000,334235.2323,428079.3639,1651722.6917,1608994.9702
EPSG:3082: NAD83 / Texas Centric Lambert Conformal,-106.6300,25.8300,-93.5100,36.5000,834148.5977,5896239.6024,2151807.5776,7077147.5777
EPSG:3083: NAD83 / Texas Centric Albers Equal Area,-106.6300,25.8300,-93.5100,36.5000,834201.3127,6876876.0013,2151755.8814,8059431.4713
EPSG:3090: NAD83(HARN) / Kentucky Single Zone,-89.4200,36.5000,-81.9800,39.1400,1171222.7714,1024964.2874,1837730.9270,1318102.2482
EPSG:3100: JGD2000 / UTM zone 54N,138.0000,23.5000,144.0000,45.7300,193603.3243,2602071.9055,806396.6757,5068427.1451
EPSG:3110: AGD66 / Vicgrid66,140.9500,-39.1500,149.9800,-34.0000,2125504.6945,4250070.4792,2960419.4028,4824983.4831
EPSG:3111: GDA94 / Vicgrid94,140.9500,-39.1500,149.9800,-34.0000,2125506.0544,2250071.3640,2960417.7309,2824982.3383
EPSG:3112: GDA94 / Geoscience Australia Lambert,108.0000,-45.0000,155.0000,-10.0000,-2918276.3772,-5287521.9260,2362935.9369,-1372651.4100
EPSG:3113: GDA94 / BCSG02,152.3000,-29.0000,153.7000,-25.0000,-20665.4945,-11028.4733,120665.4945,432201.8163
